contract_id,document_name,provider_names,signed_date,contract_type,name,abi,tax_code,vat_code,vat_group,pec_mail,courtesy_mail,referente_fattura_mail,sdd,sdi_code,membership_id,product_id,institution_type,business_register_number,registered_office,zip_code,county,country,city,infocamere_pec,infocamere_name,status
pagopa-psp-227,CI195_A_Banca Intermobiliare,ABI03043,07/02/2020,A,Banca Intermobiliare di Investimenti e Gestioni S.p.A.,03043,02751170016,02751170016,TRUE,08434.bcc@actaliscertymail.it,,fornitori@bancaintermobiliare.com,FALSE,,pagopa-psp-227,prod-pagopa,PSP,02751170016,VIA SAN DALMAZZO 15,10122,TO,IT,TORINO,bancainvestis@legalmail.it,BANCA INVESTIS S.P.A.,ERROR
pagopa-psp-214,CI182_A_BCC Agrigentino,ICRAITRRUS0;ABI07108,07/02/2020,A,Banca di Credito Cooperativo Agrigentino - Società Cooperativa,07108,02428850842,15240741007,TRUE,bccagrigentino@legalmail.it,,,FALSE,,pagopa-psp-382,prod-pagopa,PSP,02428850842,VIALE LEONARDO SCIASCIA 210,92100,AG,IT,AGRIGENTO,BCCAGRIGENTINO@LEGALMAIL.IT,BANCA DI CREDITO COOPERATIVO AGRIGENTINO - SOCIETA' COOPERATIVA,OK
pagopa-psp-209,CI177_A_BCC Mutuo Soccorso Gangi,ABI08958,07/02/2020,A,Banca Di Credito Cooperativo Mutuo Soccorso Di Gangi - Società Cooperativa,08958,00101550820,15240741007,TRUE,08958.bcc@actaliscertymail.it,,,FALSE,,pagopa-psp-305,prod-pagopa,PSP,00101550820,VIA UMBERTO I 24,90024,PA,IT,GANGI,08958.BCC@ACTALISCERTYMAIL.IT,BANCA DI CREDITO COOPERATIVO MUTUO SOCCORSO GANGI - SOCIETA' COOP RATIVA,OK
pagopa-psp-149,CI115_A_BANCA_DI_SALUZZO,,07/02/2020,A,Cassa di Risparmio di Saluzzo S.p.A.,06295,00243830049,03830780361,TRUE,cbi.dircomm@pecgruppobper.it,,,FALSE,,pagopa-psp-149,prod-pagopa,PSP,00243830049,CORSO ITALIA 86,12037,CN,IT,SALUZZO,NON PRESENTE SU INFOCAMERE,CASSA DI RISPARMIO DI SALUZZO -ASSOCIAZIONE DI PERSONE-,ERROR
pagopa-psp-258,CI226_B_Banca del Fucino,ABI03124,07/02/2020,B,Banca del Fucino - S.p.A.,03124,04256050875,04256050875,FALSE,bancafucino@postacert.cedacri.it,,,FALSE,,pagopa-psp-258,prod-pagopa,PSP,04256050875,VIA TOMACELLI 107,00186,RM,IT,ROMA,IGEABANCA@LEGALMAIL.IT,BANCA DEL FUCINO S.P.A.,ERROR
pagopa-psp-142,CI108_A_AFONE_PAIEMENT,ABI36071,07/02/2020,A,Afone Paiment,36071,09828070962,09828070962,FALSE,afonepaiement@legalmail.it,,,FALSE,,pagopa-psp-142,,,,,,,-,,ERRORE 404,ERRORE 404,ERROR
pagopa-psp-275,CI244_A_BCC Agrobresciano,ICRAITRRFZ0;ABI08575,07/02/2020,A,Banca di Credito Cooperativo Agrobresciano - Società Cooperativa,08575,00284980174,15240741007,TRUE,bancaonline@agrobresciano.legalmail.it,,,FALSE,,pagopa-psp-275,prod-pagopa,PSP,00284980174,PIAZZA ROMA 17,25016,BS,IT,GHEDI,SEGRETERIA@AGROBRESCIANO.LEGALMAIL.IT,BANCA DI CREDITO COOPERATIVO AGROBRESCIANO - SOCIETA' COOPERATIVA,ERROR
pagopa-psp-352,CI327_A_BANCA DI CREDITO COOPERATIVO SAN GIUSEPPE DI MUSSOMELI,,07/02/2020,A,Banca di Credito Cooperativo San Giuseppe di Mussomeli - Società Cooperativa,08975,00056550858,15240741007,TRUE,08975.bcc@actaliscertymail.it,,,FALSE,,pagopa-psp-352,prod-pagopa,PSP,00056550858,PIAZZALE CONCORDATO 7,93014,CL,IT,MUSSOMELI,08975.BCC@ACTALISCERTYMAIL.IT,BANCA DI CREDITO COOPERATIVO SAN GIUSEPPE DI MUSSOMELI SOCIETA' COOPERATIVA,OK
pagopa-psp-128,CI094_A_BANCO_DI_DESIO,BDBDIT22XXX;ABI03440;BDBDIT22,07/02/2020,A,Banco di Desio e della Brianza - S.p.A.,03440,01181770155,10537880964,FALSE,segreteria@pec.bancodesio.it,,,FALSE,75HCYT1,pagopa-psp-128,prod-pagopa,PSP,01181770155,VIA ROVAGNATI 0001,20832,MB,IT,DESIO,SEGRETERIA@PEC.BANCODESIO.IT,BANCO DI DESIO E DELLA BRIANZA SOCIETA' PER AZIONI,OK
pagopa-psp-277,CI246_B_Banca Popolare di Bari,BPBAIT3B;ABI05424,07/02/2020,B,Banca Popolare di Bari - Società Cooperativa per Azioni in A.S.,05424,00254030729,16868201001,TRUE,segreteriageneralebpb@postacert.cedacri.it,,r.delaurentiis@popolarebari.it,FALSE,75HCYT1,pagopa-psp-277,prod-pagopa,PSP,00254030729,CORSO CAVOUR 19,70122,BA,IT,BARI,BDMBANCA@POSTACERT.CEDACRI.IT,BDM BANCA S.P.A.,ERROR
